社員ID,姓,セイ,family_name,名,メイ,first_name,性別,住所,生年月日,所属課
10008,須賀,スガ,suga,美智子(ミチコ),ミチコ,michiko,女,9230076 石川県 小松市 麦口町,1988-12-31,営業四課
10031,松島,マツシマ,matsushima,薫(- 名),カオル,kaoru,女,0280533 岩手県 遠野市 綾織町上綾織,2000-09-09,営業二課
10074,川田,ｶﾜﾀ,kawata,有海,アミ,Ami,女,5094203 岐阜県 飛騨市 古川町袈裟丸,1976-10-23,営業一課
10083,菊地,キクチ,kikuchi,真悠子,マユコ,Mayuko,女,5091103 岐阜県 加茂郡白川町 水戸野,1991-02-17,営業二課
10171,山元,ヤマモト,yamamoto,誠治,セイジ,seiji,男,1760002 東京都 練馬区 桜台,1998-07-29,営業一課
10204,日下,ﾋﾉｼﾀ,hinoshita,誠治,セイジ,seiji,男,7510881 山口県 下関市 井田,1998-07-29,営業一課
10219,永田,ナガタ,nagata,早紀,サキ,saki,女,9040415 沖縄県 国頭郡恩納村 仲泊,1971-06-22,営業二課
10230,小椋,ｵｸﾞﾗ,ogura,恵子,ケイコ,keiko,女,5016082 岐阜県 羽島郡笠松町 春日町,1970-02-17,営業一課
10240,武内,タケウチ,takeuchi,孝太郎,コウタロウ,Koutarou,男,3200846 栃木県 宇都宮市 滝の原,1980-03-31,営業四課
10249,滝川,タキガワ,tavkigawa,莉央,リオ,rio,女,9930061 山形県 長井市 寺泉,1981-05-11,営業五課
10280,ト字,ﾄｼﾞ,toji,祐一,ユウイチ,yuuichi,男,9060008 沖縄県 宮古島市 平良荷川取,1989-06-02,営業一課
10357,境,サカイ,sakai,景子,ケイコ,Keiko,女,6770104 兵庫県 多可郡多可町 八千代区横屋,1978-08-30,営業三課
10363,寺尾,テラオ,terao,里穂,リホ,riho,女,9813321 宮城県 富谷市 大童,1979-06-25,営業四課
10390,神原,ｶﾝﾊﾞﾗ,kannbara,寛治,カンジ,kanji,男,8850091 宮崎県 都城市 横市町,1972-11-19,営業五課
10393,片平,カタヒラ,katahira,妃里(名),ユリ,yuri,女,6693602 兵庫県 丹波市 氷上町常楽,1984-07-04,営業三課
10463,畑中,ハタナカ,hatanaka,光洋,ミツヒロ,Mitsuhiro,男,9391747 富山県 南砺市 山田,1995-11-28,営業四課
10479,多岐川,タキガワ,takigawa,建(ケン),ケン,ken,男,6693404 兵庫県 丹波市 春日町牛河内,1991-08-16,営業三課
10495,金山,カナヤマ,kanayama,晃司,コウジ,kouji,男,8500977 長崎県 長崎市 土井首町,1968-07-14,営業一課
10496,梅村,ウメムラ,umemura,(名前)理紗,リサ,risa,女,1066124 東京都 港区 六本木六本木ヒルズ森タワー,1999-05-09,営業二課
10554,木原,ｷﾊﾗ,kihara,夏希,ナツキ,natsuki,女,6694252 兵庫県 丹波市 春日町下三井庄,1976-01-28,営業三課
10588,大田,オオタ,oota,勇,ユウ,Yuu,女,7530243 山口県 山口市 大内姫山台,1977-10-25,営業一課
10605,梅村,ウメムラ,umemura,幸子,サチコ,sachiko,女,1416011 東京都 品川区 大崎ＴｈｉｎｋＰａｒｋＴｏｗｅｒ,1978-07-15,営業四課
10799,山本,ﾔﾏﾓﾄ,yamamoto,ひとみ,ヒトミ,hitomi,女,6894505 鳥取県 日野郡日野町 舟場,2001-04-24,営業五課
10810,斎藤,ｻｲﾄｳ,saitou,涼,リョウ,ryou,女,3190311 茨城県 水戸市 牛伏町,1999-03-30,営業一課
10822,井手,イデ,ide,景子,ケイコ,keiko,女,7540512 山口県 美祢市 秋芳町岩永本郷,1999-06-30,営業二課
10831,神山,カミヤマ,kamiyama,里穂(リホ),リホ,riho,女,1960025 東京都 昭島市 朝日町,1974-07-27,営業五課
10836,金児,カネコ,kaneko,恵梨香,エリカ,erika,女,6890222 鳥取県 鳥取市 気高町日光,1990-07-29,営業四課
10901,中村,ナカムラ,nakamura,徹平(テッペイ),テッペイ,Teppei,男,2470013 神奈川県 横浜市栄区 上郷町,1988-08-15,営業三課
10962,おかやま,オカヤマ,okayama,孝太郎,コウタロウ,koutarou,男,5180418 三重県 名張市 富貴ケ丘５番町,1988-04-01,営業二課
10977,澤田,サワダ,sawada,美智子,ミチコ,michiko,女,1630436 東京都 新宿区 西新宿新宿三井ビル,1972-09-25,営業四課
11031,松沢,マツザワ,matsuzawa,育二,イクジ,ikuji,男,7981343 愛媛県 北宇和郡鬼北町 近永,1972-08-05,営業二課
11038,村松,ムラマツ,muramatsu,倫子,ノリコ,Noriko,女,6562126 兵庫県 洲本市 安乎町宮野原,1986-10-08,営業二課
11090,瀬尾,セオ,seo,紗季,サキ,saki,女,5110002 三重県 桑名市 福島,1973-04-06,営業五課
11104,塩谷,ｼｵﾔ,shioya,華子,ハナコ,hanako,女,5100863 三重県 四日市市 磯津,2000-07-09,営業二課
11106,児玉,コダマ,kodama,薫(カオル),カオル,kaoru,男,9992253 山形県 南陽市 宮崎,1996-08-24,営業四課
11112,須賀,ｽｶﾞ,suga,涼,リョウ,ryou,女,8612232 熊本県 上益城郡益城町 馬水,1970-12-29,営業四課
11176,有田,アリタ,arita,恵子(ケイコ),ケイコ,keiko,女,1230841 東京都 足立区 西新井,1970-02-28,営業二課
11207,木戸,ｷﾄﾞ,kido,まさし,マサシ,masashi,男,5690021 大阪府 高槻市 前島,1968-03-01,営業四課
11261,哀川,アイカワ,aikawa,有海,アミ,Ami,女,2994332 千葉県 長生郡長生村 金田,1973-02-08,営業三課
11324,増田,ﾏｽﾀﾞ,masuda,まなみ(マナミ),マナミ,Manami,女,8820092 宮崎県 延岡市 宮長町,1992-03-31,営業三課
11342,安倍,アベ,abe,亮,リョウ,ryou,男,9872147 宮城県 栗原市 高清水観音沢,1992-02-03,営業三課
11357,田端,ﾀﾊﾞﾀ,tabata,一徳,イットク,ittoku,男,6101104 京都府 京都市西京区 大枝中山町,1974-09-20,営業二課
11383,川島,カワシマ,kawashima,光良,テルヨシ,teruyoshi,男,9640015 福島県 二本松市 板目沢,1970-03-03,営業五課
